"time","timeDate","close","high","low","open","volumefrom","volumeto","ts"
1502928000000,"2017-08-16",0.00001422,0.00001809,0.00001296,0.00001371,84112775.82,1243.49,
1503014400000,"2017-08-17",0.00001321,0.00001446,0.00001291,0.00001422,49239128.92,660.47,
1503100800000,"2017-08-18",0.00001302,0.00001396,0.00001182,0.00001321,41151543.29,532.59,
1503187200000,"2017-08-19",0.00001362,0.00001374,0.00001268,0.00001302,24128999.73,319.67,
1503273600000,"2017-08-20",0.00001279,0.00001386,0.0000122,0.00001362,32588298.2,425.52,
1503360000000,"2017-08-21",0.00001207,0.00001283,0.00001182,0.00001279,22398100.96,276.13,
1503446400000,"2017-08-22",0.00001237,0.00001359,0.00001184,0.00001207,43341491.36,546.63,
1503532800000,"2017-08-23",0.00001235,0.00001346,0.00001206,0.00001237,39214551.58,488.82,
1503619200000,"2017-08-24",0.00001168,0.0000124,0.00001142,0.00001235,38508808.2,459.18,
1503705600000,"2017-08-25",0.00001178,0.00001224,0.00001153,0.00001168,30768898.11,363.84,
1503792000000,"2017-08-26",0.00001189,0.00001205,0.00001155,0.00001178,29816448.27,349.86,
1503878400000,"2017-08-27",0.00001133,0.00001189,0.00001101,0.00001189,43532275.22,501.05,
1503964800000,"2017-08-28",0.0000108,0.00001218,0.00001031,0.00001133,61402485.5,688.54,
1504051200000,"2017-08-29",0.00001049,0.00001119,0.00001019,0.0000108,42230050.97,447.34,
1504137600000,"2017-08-30",0.00001035,0.00001105,0.00000988,0.00001049,59190522.86,615.09,
1504224000000,"2017-08-31",0.00000998,0.00001055,0.00000985,0.00001035,53317184.62,539.01,
1504310400000,"2017-09-01",0.00000906,0.00000998,0.00000891,0.00000998,44602583.54,417.52,
1504396800000,"2017-09-02",0.00000896,0.00000941,0.00000856,0.00000906,44625934.01,399.75,
1504483200000,"2017-09-03",0.00000767,0.00000905,0.00000667,0.00000896,109497408.61,840.77,
1504569600000,"2017-09-04",0.00000786,0.00000811,0.00000706,0.00000767,53910533.53,408.23,
1504656000000,"2017-09-05",0.00000913,0.00000977,0.00000707,0.00000786,164857596.58,1391.04,
